ORIGINTIME,EQLO,EQLA,EQDP,EQMAG,MMILO,MMILA,MMI,MMISC,EQNAME
19180606T1814,152.500,-23.500,-999.0,-999.0,150.561,-24.049,4.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,148.254,-26.624,3.0,CD,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,152.634,-25.334,4.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,153.008,-27.472,4.0,          ,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,153.044,-27.424,4.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,153.093,-27.474,4.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,151.991,-27.536,4.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,152.851,-26.814,5.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,151.997,-25.471,5.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,152.368,-24.848,5.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,151.805,-24.587,5.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,152.332,-24.821,6.0,D,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,151.205,-24.976,5.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.809,-24.881,5.0,BC,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.690,-24.879,5.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.440,-25.031,5.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.303,-25.303,5.0,B,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.121,-24.460,5.0,C,Bundaberg Earthquake
19180606T1814,152.500,-23.500,-999.0,-999.0,150.091,-24.105,5.0,BC,Bundaberg Earthquake
